Asset ID,Category,Existing/Generate,Page,Section,Component,Purpose,Source References,Reference Paths,Ratio,Resolution,Crop Safe Area,Final Filename,Destination Path,Alt Text,Asserts Fact,Priority,Status
SRC-PANEL-001,ELECTRICAL,EXISTING,/ /electrical/ /electrical/panels/,-,-,"לוח חשמל ביתי פתוח, שורת מאמתים CHINT, ממסר פחת, ותוויות מודפסות בעברית לכל מעגל (מזגן, כירה, דוד, מטבח, ראשי). מסודר ומתויג במלואו.",-,/images/gallery/panel-01-hero.jpeg,-,1248×936 (נגזר מ-1600×1200),-,panel-01-hero.jpeg,/images/gallery/panel-01-hero.jpeg,-,-,-,IN USE
SRC-PANEL-002,ELECTRICAL,EXISTING,,-,-,שני לוחות סמוכים — ישן עם חיווט חשוף לצד חדש ומסודר. מתעד יפה 'לפני ואחרי'.,-,/quarantine/panel-02.jpeg,-,1600×1200,-,panel-02.jpeg,/quarantine/panel-02.jpeg,-,-,-,QUARANTINED
SRC-PANEL-003,ELECTRICAL,EXISTING,/electrical/panels/,-,-,"לוח דירתי בבניין משותף, מסומן 'דירה 17'. מאמתים ABB, פחת ראשי, תוויות לבנות לכל מעגל.",-,/images/gallery/panel-03.jpeg,-,1131×1600 (לאורך),-,panel-03.jpeg,/images/gallery/panel-03.jpeg,-,-,-,IN USE
SRC-PANEL-004,ELECTRICAL,EXISTING,/electrical/panels/,-,-,"לוח דירתי עם מונה NISKO, פחת ראשי, מפסק ראשי ופיצול פאזות (L3+0). תיוג מודפס בעברית לכל רכיב, כולל 'מונה דירה 2'.",-,/images/gallery/panel-04.jpeg,-,1131×1600 (לאורך),-,panel-04.jpeg,/images/gallery/panel-04.jpeg,-,-,-,IN USE
SRC-PANEL-005,CONTRACTING,EXISTING,/contracting/ /electrical/panels/,-,-,"לוח מסחרי גדול בן 72 מודולים בארבע שורות — Hager, בקר בידוד ISO-2, מאמתים תלת-פאזיים, מגענים Eaton, ומספור מלא של המקומות. מותקן בקיר גבס בשלב גמר.",-,/images/gallery/panel-05.jpeg,-,1500×2000 (לאורך) · גזירה לרוחב 1500×1125,-,panel-05.jpeg,/images/gallery/panel-05.jpeg,-,-,-,IN USE
SRC-COMMERCIAL-001,CONTRACTING,EXISTING,/contracting/infrastructure/ /electrical/lighting/,-,-,"פרויקט מסחרי בשלב בנייה: תקרת גבס פתוחה עם פתחים עגולים לגופי תאורה, צנרת שרשורית, מוליכים משוכים ומחכים, סולם, ותוכניות מודבקות על הקיר. במסגרת התחתונה נראה שילוט 'Luna Park of flavors'.",-,/images/gallery/lighting-01.jpeg,-,1080×1353 (לאורך) · גזירה לרוחב 1080×810,-,lighting-01.jpeg,/images/gallery/lighting-01.jpeg,-,-,-,IN USE
SRC-COMMERCIAL-002,CONTRACTING,EXISTING,/electrical/lighting/,-,-,"אותו חלל מסחרי לאחר גמר, בזווית רחבה: תקרה צבועה בפסים ורודים ולבנים, גופי תאורה שקועים, פסי תאורה שחורים, גלריה של קניון ברקע.",-,/images/gallery/lighting-02.jpeg,-,2048×945 (פנורמי),-,lighting-02.jpeg,/images/gallery/lighting-02.jpeg,-,-,-,IN USE
SRC-COMMERCIAL-003,CONTRACTING,EXISTING,/electrical/lighting/,-,-,"פריסת גופי תאורה בתקרה מסחרית, זווית קרובה יותר.",-,/images/gallery/lighting-03.jpeg,-,1200×1600 (לאורך),-,lighting-03.jpeg,/images/gallery/lighting-03.jpeg,-,-,-,IN USE
SRC-COMMERCIAL-004,CONTRACTING,EXISTING,/electrical/lighting/ /contracting/commercial/,-,-,"החלל המסחרי הגמור, הזווית הטובה ביותר: תאורה שקועה, פסי תאורה על מסילה, תאורת הדגשה, דלפק שירות, ויטרינות. שילוט המותג נראה בבירור.",-,/images/gallery/lighting-04.jpeg,-,1500×2000 (לאורך) · גזירה לרוחב 1500×1125,-,lighting-04.jpeg,/images/gallery/lighting-04.jpeg,-,-,-,IN USE
SRC-SOLAR-001,SOLAR,EXISTING,,-,-,"שורות פאנלים על גג כהה, אדמה אדומה לטריטית, עצים דלילים ומחפרון צהוב ברקע. האדמה והצמחייה אינן של קיבוץ רביבים שבנגב.",-,/quarantine/projects/argaman-revivim.webp,-,1800×1200 (מוגדל ממקור קטן בהרבה),-,argaman-revivim.webp,/quarantine/projects/argaman-revivim.webp,-,-,-,QUARANTINED
SRC-SOLAR-002,SOLAR,EXISTING,,-,-,"מערך גדול על גג סככה תעשייתית, נוף צחיח, מבנה בטון ארוך ברקע.",-,/quarantine/projects/yaakobi-beit-ezra.webp,-,1800×1200 (מוגדל),-,yaakobi-beit-ezra.webp,/quarantine/projects/yaakobi-beit-ezra.webp,-,-,-,QUARANTINED
SRC-SOLAR-003,SOLAR,EXISTING,/projects/beit-knesset-yona-ganei-tikva/,-,-,"ממיר Solis תלוי בארון לבן, סוללת אגירה מתחתיו, שרשור ירוק גמיש, מוליכי DC אדום/שחור ומחברי MC4. צילום פנים חד, ברזולוציה מקורית.",-,/images/projects/beit-knesset-yona-01.webp,-,1800×1200,-,beit-knesset-yona-01.webp,/images/projects/beit-knesset-yona-01.webp,-,-,-,NEEDS RETOUCH
SRC-SOLAR-003B,SOLAR,EXISTING,/projects/beit-knesset-yona-ganei-tikva/,-,-,"מערך פאנלים מונוקריסטליים שחורים על מסגרת הטיה מאלומיניום, על גג ביטומני עם משקולות בטון. ברקע בניין מגורים ישראלי אופייני ודקלים.",-,/images/projects/beit-knesset-yona-02.webp,-,1800×1200,-,beit-knesset-yona-02.webp,/images/projects/beit-knesset-yona-02.webp,-,-,-,IN USE
SRC-SOLAR-003C,SOLAR,EXISTING,/projects/beit-knesset-yona-ganei-tikva/,-,-,"שלב הרכבה: שלד מסגרות אלומיניום מוברג על הגג לפני הנחת הפאנלים, משקולות בטון, פאנלים ארוזים בניילון ממתינים בצד, מקדחה על הגג. ברקע צמחייה ישראלית ומבנים.",-,/images/projects/beit-knesset-yona-03.webp,-,1800×1200,-,beit-knesset-yona-03.webp,/images/projects/beit-knesset-yona-03.webp,-,-,-,IN USE
SRC-SOLAR-004,SOLAR,EXISTING,,-,-,"גג תעשייתי כחול רחב־ידיים עם מערך גדול, מול קו רקיע עירוני צפוף.",-,/quarantine/projects/saban-shtulim.webp,-,"1800×1200 (מוגדל, עם פסים לבנים בקצוות)",-,saban-shtulim.webp,/quarantine/projects/saban-shtulim.webp,-,-,-,QUARANTINED
SRC-SOLAR-005,SOLAR,EXISTING,,-,-,"פאנלים כחולים על גג עם מעקה לבן, עיר צפופה ומגדל סלולר ברקע.",-,/quarantine/projects/sigalon-yavne.webp,-,1800×1200 (מוגדל),-,sigalon-yavne.webp,/quarantine/projects/sigalon-yavne.webp,-,-,-,QUARANTINED
SRC-SOLAR-006,SOLAR,EXISTING,,-,-,"מערך על מתלים מוגבהים על גג, טחנת רוח ומבני לבנים ברקע.",-,/quarantine/projects/avishai-adi.webp,-,1800×1200 (מוגדל),-,avishai-adi.webp,/quarantine/projects/avishai-adi.webp,-,-,-,QUARANTINED
SRC-SOLAR-007,SOLAR,EXISTING,,-,-,מערך על גג משופע מול קו רקיע של בנייני מגורים רבי־קומות עם מיכלי מים על הגגות.,-,/quarantine/projects/amar-kfar-yona.webp,-,"1800×1200 (מוגדל, עם פסים לבנים בקצוות)",-,amar-kfar-yona.webp,/quarantine/projects/amar-kfar-yona.webp,-,-,-,QUARANTINED
SRC-SOLAR-008,SOLAR,EXISTING,,-,-,"פאנלים על גג פח כחול של סככה, ברקע בניין רב־קומות ווילה עם גג רעפים אדום.",-,/quarantine/projects/sharabani-ben-zakai.webp,-,1800×1200 (מוגדל),-,sharabani-ben-zakai.webp,/quarantine/projects/sharabani-ben-zakai.webp,-,-,-,QUARANTINED
SRC-SOLAR-009,SOLAR,EXISTING,,-,-,"מערך על גג עירוני עם מיכלי מים, מזגן Mitsubishi ומבנה בטון ביציקה עם עמודי ברזל חשופים ברקע.",-,/quarantine/projects/gemini-metzer.webp,-,1800×1200 (מוגדל),-,gemini-metzer.webp,/quarantine/projects/gemini-metzer.webp,-,-,-,QUARANTINED
SRC-SOLAR-010,SOLAR,EXISTING,,-,-,"שורות פאנלים כחולים על מתלים, ומאחוריהן גשר רכבת עילית על עמודי בטון.",-,/quarantine/projects/lifshitz-klil.webp,-,1800×1200 (מוגדל),-,lifshitz-klil.webp,/quarantine/projects/lifshitz-klil.webp,-,-,-,QUARANTINED
SRC-CUSTOMER-001,PERSON,EXISTING,,-,-,"דיוקן לקוח, גזירה מרובעת 320×320.",-,/quarantine/testimonials/nir-ravah.jpg,-,320×320,-,nir-ravah.jpg,/quarantine/testimonials/nir-ravah.jpg,-,-,-,QUARANTINED
SRC-CUSTOMER-002,PERSON,EXISTING,,-,-,תמונה אישית בשדה פתוח בשעת שקיעה. לא דיוקן עסקי.,-,/quarantine/testimonials/noa-hamami.jpg,-,96×96,-,noa-hamami.jpg,/quarantine/testimonials/noa-hamami.jpg,-,-,-,QUARANTINED
SRC-CUSTOMER-003,PERSON,EXISTING,,-,-,"סלפי אישי ליד נחל, ללא חולצה. לא מתאים לפרסום באתר עסקי בכל מקרה.",-,/quarantine/testimonials/bar-topaz.jpg,-,96×96,-,bar-topaz.jpg,/quarantine/testimonials/bar-topaz.jpg,-,-,-,QUARANTINED
SRC-CUSTOMER-004,PERSON,EXISTING,,-,-,"סצנה חיצונית עם שני אנשים, אחד מהם ילד. לא דיוקן.",-,/quarantine/testimonials/raz-avishai.jpg,-,96×96,-,raz-avishai.jpg,/quarantine/testimonials/raz-avishai.jpg,-,-,-,QUARANTINED
SRC-CUSTOMER-005,PERSON,EXISTING,,-,-,"דיוקן פנים במשקפיים, תאורה פנימית. מבין החמישה — הקרוב ביותר לדיוקן.",-,/quarantine/testimonials/alex-sukholitko.jpg,-,96×96,-,alex-sukholitko.jpg,/quarantine/testimonials/alex-sukholitko.jpg,-,-,-,QUARANTINED
SRC-RONI-001,PERSON,EXISTING,,-,-,"דיוקן — פנים ברורות, ביגוד עבודה, סביבה אמיתית. נדרשות 3–5 תמונות מזוויות שונות כדי לשמר זהות עקבית בין כל התמונות שייווצרו.",-,/AI-ASSET-PACK/SOURCE-ASSETS/PERSON/ — טרם התקבל,-,—,-, — טרם התקבל,/AI-ASSET-PACK/SOURCE-ASSETS/PERSON/ — טרם התקבל,-,-,-,AWAITING UPLOAD
SRC-TEAM-001,TEAM,EXISTING,,-,-,"צוות בעבודה — פנים, ביגוד, ציוד, סביבת עבודה.",-,/AI-ASSET-PACK/SOURCE-ASSETS/TEAM/ — טרם התקבל,-,—,-, — טרם התקבל,/AI-ASSET-PACK/SOURCE-ASSETS/TEAM/ — טרם התקבל,-,-,-,AWAITING UPLOAD
SRC-SITE-001,CONTRACTING,EXISTING,,-,-,"אתר בנייה למגורים בשלב שלד — צנרת, שרוולים, קופסאות, הכנות לפני יציקה.",-,/AI-ASSET-PACK/SOURCE-ASSETS/CONTRACTING/ — טרם התקבל,-,—,-, — טרם התקבל,/AI-ASSET-PACK/SOURCE-ASSETS/CONTRACTING/ — טרם התקבל,-,-,-,AWAITING UPLOAD
SRC-SOLARWORK-001,SOLAR,EXISTING,,-,-,"התקנה סולארית תוך כדי עבודה — צוות על גג, מבנה נשיאה, פאנלים באמצע הרכבה.",-,/AI-ASSET-PACK/SOURCE-ASSETS/SOLAR/ — טרם התקבל,-,—,-, — טרם התקבל,/AI-ASSET-PACK/SOURCE-ASSETS/SOLAR/ — טרם התקבל,-,-,-,AWAITING UPLOAD
